Scenario;Commentaire;I_Begin_Time_H;I_End_Time_H;I_Period_UT1;I_ModeOpen_UT1_1;I_InputOpen_UT1_1;I_InputOpen_UT1_2;I_InputOpen_UT1_3;I_InputOpen_UT1_4;I_Period_UT2;I_ModeOpen_UT2;I_InputOpen_UT2_1;I_InputOpen_UT2_2;I_InputOpen_UT2_3;I_InputOpen_UT2_4;I_Period_UT3;I_ModeOpen_UT3;I_InputOpen_UT3_1;I_InputOpen_UT3_2;I_InputOpen_UT3_3;I_InputOpen_UT3_4;I_Period_UT_Close;I_InputClose_1;I_InputClose_2;I_InputPyram_1;I_InputPyram_2;I_InputPyram_3;I_Mode_SL;I_Param_SL_1;I_Param_SL_2;I_Coef_ATR_SL_Min;I_SL_Margin;I_Risque_Max_Val;I_Risque_Pct;I_Mode_Trailing;I_Param_Trail_1;I_Param_Trail_2;I_PourCent_Close;I_PourCent_Pyram;I_MovingTP;I_Strat_GoalTP;I_ModeClose;I_useStack
1;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,6,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;6;1;100;50;FALSE;150-100;0;FALSE
2;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,12,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;6;1;100;50;FALSE;150-100;0;FALSE
3;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,6,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;12;1;100;50;FALSE;150-100;0;FALSE
4;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,12,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;12;1;100;50;FALSE;150-100;0;FALSE
5;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,6,1;;;;;;;;;0;6;3.0;1.0;50;50;5;1;14;1.5;100;50;FALSE;150-100;0;FALSE
6;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,12,1;;;;;;;;;0;6;3.0;1.0;50;50;5;1;14;1.5;100;50;FALSE;150-100;0;FALSE
7;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,6,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;6;1;100;50;FALSE;150-BE*150-50;0;FALSE
8;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,12,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;6;1;100;50;FALSE;150-BE*150-50;0;FALSE
9;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,6,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;12;1;100;50;FALSE;150-BE*150-50;0;FALSE
10;Campagne 13 645-2045 D1H4 no close;645;2045;D1;1x2x3;Point_Pivot_Index_Sens:1830,1000;MM2_close_sens:MODE_EMA,1,100,1;;;D1;;;;;;H4;1x2x3;TR_2_STD_go:20,2,1;Cassure_Go:CLOSE,12,1;;;;;;;;;0;6;3.0;1.0;50;50;5;0;12;1;100;50;FALSE;150-BE*150-50;0;FALSE
