Scenario;Commentaire;I_Open_Time_1;I_Retest;I_Mode_Entry;I_Period;I_Input_BaseLine;I_Check_Distance_BL;I_Check_Cross_BL;I_Input_Conf_1;I_Input_Conf_2;I_Input_Volatility;I_Input_Exit_1;I_Input_Exit_2;I_Mode_SL;I_Nb_Cand_SL;I_Coef_ATR_SL;I_Coef_ATR_SL_Min;I_Risque_Max_Val;I_Risque_Pct;I_Mode_Trailing;I_Coef_ATR_Trailing;I_PourCent_Close;I_PourCent_Pyram;I_MovingTP;I_Strat_GoalTP;I_ModeClose;I_useStack;I_Input_Stack_1;I_Direction_filter;I_Continuation;I_Mode_BL
1;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870141;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;4;1;1;25;2.5;1;4.0;100;100;FALSE;200-BE*200-50$1900;2;FALSE;;SELL;FALSE;0
2;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870142;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;4;1;1;25;2.5;1;2.0;100;100;FALSE;200-BE*200-50$1900;2;FALSE;;SELL;FALSE;0
3;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870149;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;4;1;1;25;2.5;1;4.0;100;50;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
4;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870156;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;4;1;1;25;2.5;1;4.0;100;100;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
5;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870165;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;4.0;100;100;FALSE;200-BE*200-50$1900;2;FALSE;;SELL;FALSE;0
6;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870166;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;2.0;100;100;FALSE;200-BE*200-50$1900;2;FALSE;;SELL;FALSE;0
7;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870174;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;4.0;100;50;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
8;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870175;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;2.0;100;50;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
9;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870183;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;4.0;100;100;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
10;camp_NNFX_SELL_M30_MM_P2_20220302.csv 1870184;945-1515;FALSE;0;M30;DumbFixeVal:-5555;;;SSL_Channel_Go:14,#SHIFT-1-1,1;ASH_Direction:1,35,1,3,0,1;DumbFixeVal:1;DumbFixeVal:-5555;;0;3;1;1;25;2.5;1;2.0;100;100;FALSE;200-BE*200-50$1900;2;TRUE;Cassure_Go:HL,2,1;SELL;FALSE;0
